L I	L III	L II(Calc.)
-0.00366211	-0.0454712	-0.0491333
0.00305176	-0.0469971	-0.0439453
0.0088501	-0.0488281	-0.039978
0.0134277	-0.0512695	-0.0378418
0.0158691	-0.0534058	-0.0375366
0.0167847	-0.055542	-0.0387573
0.017395	-0.0570679	-0.0396729
0.0186157	-0.0585938	-0.039978
0.0201416	-0.0604248	-0.0402832
0.0222778	-0.0622559	-0.039978
0.0234985	-0.0640869	-0.0405884
0.0244141	-0.0656128	-0.0411987
0.0268555	-0.0668335	-0.039978
0.0302124	-0.0680542	-0.0378418
0.0350952	-0.0695801	-0.0344849
0.0405884	-0.071106	-0.0305176
0.0454712	-0.0726318	-0.0271606
0.0488281	-0.0735474	-0.0247192
0.0515747	-0.0732422	-0.0216675
0.057373	-0.0723267	-0.0149536
0.0653076	-0.0717163	-0.00640869
0.0723267	-0.0714111	0.000915527
0.0775146	-0.0720215	0.00549316
0.0820923	-0.0735474	0.00854492
0.0869751	-0.0756836	0.0112915
0.0939941	-0.078125	0.0158691
0.102539	-0.0811768	0.0213623
0.110779	-0.0845337	0.0262451
0.117493	-0.0881958	0.0292969
0.123596	-0.0915527	0.0320435
0.129089	-0.0949097	0.0341797
0.134277	-0.0979614	0.0363159
0.13916	-0.0997925	0.0393677
0.143433	-0.100403	0.0430298
0.1474	-0.100403	0.0469971
0.151062	-0.100098	0.0509644
0.154114	-0.0994873	0.0546265
0.15686	-0.0982666	0.0585938
0.159302	-0.0967407	0.062561
0.160828	-0.0952148	0.0656128
0.162354	-0.093689	0.0686646
0.163574	-0.0927734	0.0708008
0.165405	-0.0924683	0.072937
0.166626	-0.0924683	0.0741577
0.168457	-0.0927734	0.0756836
0.169678	-0.0927734	0.0769043
0.170593	-0.093689	0.0769043
0.172424	-0.0942993	0.078125
0.173645	-0.0942993	0.0793457
0.173645	-0.0933838	0.0802612
0.173035	-0.0915527	0.0814819
0.172119	-0.0894165	0.0827026
0.170593	-0.0866699	0.0839233
0.167236	-0.0823975	0.0848389
0.160828	-0.0759888	0.0848389
0.151978	-0.0680542	0.0839233
0.141907	-0.0595093	0.0823975
0.132141	-0.050354	0.0817871
0.122375	-0.0408936	0.0814819
0.111084	-0.0314331	0.0796509
0.098877	-0.0219727	0.0769043
0.0872803	-0.0134277	0.0738525
0.0769043	-0.00549316	0.0714111
0.0668335	0.000915527	0.067749
0.0561523	0.00640869	0.062561
0.045166	0.0109863	0.0561523
0.0341797	0.0140381	0.0482178
0.022583	0.0158691	0.0384521
0.0134277	0.0167847	0.0302124
0.00579834	0.0170898	0.0228882
-0.00152588	0.0170898	0.015564
-0.0088501	0.0167847	0.00793457
-0.0164795	0.0164795	0
-0.0241089	0.0167847	-0.00732422
-0.0311279	0.0170898	-0.0140381
-0.0378418	0.0177002	-0.0201416
-0.0442505	0.0183105	-0.0259399
-0.050354	0.0186157	-0.0317383
-0.0567627	0.0186157	-0.038147
-0.0640869	0.0183105	-0.0457764
-0.0708008	0.017395	-0.0534058
-0.0765991	0.0158691	-0.06073
-0.0808716	0.0149536	-0.065918
-0.0839233	0.0146484	-0.0692749
-0.0863647	0.0146484	-0.0717163
-0.088501	0.0143433	-0.0741577
-0.0906372	0.0140381	-0.0765991
-0.0921631	0.0137329	-0.0784302
-0.0933838	0.0137329	-0.0796509
-0.0949097	0.0140381	-0.0808716
-0.0970459	0.0149536	-0.0820923
-0.100098	0.0164795	-0.0836182
-0.103455	0.0180054	-0.0854492
-0.106506	0.0192261	-0.0872803
-0.108643	0.0198364	-0.0888062
-0.109253	0.0195313	-0.0897217
-0.108643	0.0186157	-0.0900269
-0.108337	0.0180054	-0.090332
-0.108337	0.0180054	-0.090332
-0.108337	0.0180054	-0.090332
-0.106506	0.0167847	-0.0897217
-0.104065	0.0149536	-0.0891113
-0.101318	0.0128174	-0.088501
-0.0985718	0.0109863	-0.0875854
-0.0952148	0.00915527	-0.0860596
-0.0915527	0.00762939	-0.0839233
-0.088501	0.00610352	-0.0823975
-0.0857544	0.00488281	-0.0808716
-0.0836182	0.00427246	-0.0793457
-0.0817871	0.00396729	-0.0778198
-0.0802612	0.00335693	-0.0769043
-0.0793457	0.00213623	-0.0772095
-0.0787354	0.0012207	-0.0775146
-0.0778198	0.000915527	-0.0769043
-0.078125	0.000915527	-0.0772095
-0.0799561	0.00152588	-0.0784302
-0.0814819	0.00152588	-0.0799561
-0.0814819	0.00152588	-0.0799561
-0.0808716	0.00152588	-0.0793457
-0.0796509	0.0012207	-0.0784302
-0.0787354	0.000915527	-0.0778198
-0.0778198	0.000305176	-0.0775146
-0.0775146	-0.0012207	-0.0787354
-0.0775146	-0.00274658	-0.0802612
-0.0765991	-0.00488281	-0.0814819
-0.0741577	-0.00701904	-0.0811768
-0.0723267	-0.0100708	-0.0823975
-0.0701904	-0.0134277	-0.0836182
-0.0674438	-0.0161743	-0.0836182
-0.0643921	-0.0180054	-0.0823975
-0.0613403	-0.0183105	-0.0796509
-0.0579834	-0.0177002	-0.0756836
-0.0549316	-0.0167847	-0.0717163
-0.0521851	-0.015564	-0.067749
-0.050354	-0.0143433	-0.0646973
-0.050354	-0.0131226	-0.0634766
-0.0500488	-0.012207	-0.0622559
-0.0509644	-0.0115967	-0.062561
-0.0524902	-0.0115967	-0.0640869
-0.0527954	-0.012207	-0.0650024
-0.0509644	-0.0131226	-0.0640869
-0.0491333	-0.0137329	-0.0628662
-0.0479126	-0.0134277	-0.0613403
-0.0469971	-0.0137329	-0.06073
-0.045166	-0.0140381	-0.0592041
-0.0430298	-0.0146484	-0.0576782
-0.0402832	-0.0152588	-0.055542
-0.0375366	-0.015564	-0.0531006
-0.0366211	-0.0152588	-0.0518799
-0.0372314	-0.015564	-0.0527954
-0.0390625	-0.0167847	-0.0558472
-0.0421143	-0.0180054	-0.0601196
-0.0454712	-0.0195313	-0.0650024
-0.0482178	-0.020752	-0.0689697
