Stethoscope	ECG
0	0.000610352
-0.0238037	-0.000915527
-0.0396729	-0.00305176
-0.0326538	-0.00640869
-0.012207	-0.00946045
0.0100708	-0.0125122
0.0296021	-0.0149536
0.0448608	-0.0158691
0.0640869	-0.0146484
0.0668335	-0.0112915
0.0488281	-0.00701904
0.0241089	-0.00274658
-0.00549316	0.000305176
-0.0360107	0.00244141
-0.0521851	0.00457764
-0.0567627	0.00671387
-0.0558472	0.00854492
-0.0418091	0.00915527
-0.0262451	0.00823975
-0.0164795	0.00671387
0.00823975	0.00579834
0.0183105	0.00488281
0.0271606	0.00274658
0.0448608	0.000610352
0.0463867	-0.0012207
0.0363159	-0.00244141
0.0109863	-0.00427246
-0.00854492	-0.00732422
-0.0180054	-0.0100708
-0.0415039	-0.0115967
-0.0613403	-0.0119019
-0.0524902	-0.0115967
-0.0320435	-0.010376
-0.0088501	-0.00823975
0.017395	-0.00549316
0.0338745	-0.00305176
0.0445557	-0.00183105
0.0482178	0
0.0430298	0.00152588
0.0296021	0.00274658
0	0.00152588
-0.0335693	-0.000610352
-0.0473022	-0.00274658
-0.027771	-0.00457764
0.000915527	-0.00610352
0.0204468	-0.00762939
0.00518799	-0.00854492
-0.00579834	-0.00823975
0.0109863	-0.00732422
0.0244141	-0.00610352
0.0152588	-0.00488281
-0.0106812	-0.00335693
-0.0112915	-0.00183105
-0.00335693	0.000305176
0	0.00183105
-0.00274658	0.00244141
-0.000305176	0.00244141
0.0158691	0.00274658
0.0198364	0.00366211
-0.00396729	0.00488281
-0.0302124	0.00610352
-0.0357056	0.00640869
-0.0192261	0.00457764
0.00640869	0.000305176
0.0119019	-0.00457764
0.0262451	-0.00823975
0.0369263	-0.010376
0.010376	-0.0125122
-0.0180054	-0.0137329
-0.0543213	-0.0140381
-0.0787354	-0.0143433
-0.0619507	-0.0146484
-0.0354004	-0.0149536
0.00701904	-0.0140381
0.0366211	-0.012207
0.0582886	-0.0109863
0.0643921	-0.0112915
0.0463867	-0.0119019
0.0180054	-0.0131226
-0.00671387	-0.0146484
0.000305176	-0.0158691
-0.00457764	-0.0161743
0.00274658	-0.0152588
0.0152588	-0.0134277
-0.0131226	-0.0109863
-0.0183105	-0.0088501
-0.0167847	-0.00732422
